screen_name,created_at,text
DebraJoRiccio,11/7/17 16:32,@newyorklivetv I cant believe the Lion King is 20 years old.  Its an awesome play.  @jacquereid @saragore
ironstowe,11/7/17 16:32,@NBCNews INDICTMENT ALERT17 sealed indictments on D.C. courthouse docket schedule. https://t.co/jNTKrCor7N  
Aubs89,11/7/17 16:32,Nina Turner can fuck herself https://t.co/xDCSRfc0cS
trapmommick,11/7/17 16:32,She looks hot...sexy..gorgeous...dont know what you saw  https://t.co/nQNcDV4tga
Hasana45160079,11/7/17 16:32,"@JoshMankiewicz I knew you were on Dateline NBC, but I had to Google just in case. I have been watching for many ye https://t.co/ylLe3vGYD7"
ironstowe,11/7/17 16:32,@NBCNews INDICTMENT ALERT17 sealed indictments on D.C. courthouse docket schedule. https://t.co/jNTKrCor7N  
AMortalAlien,11/7/17 16:32,I was born and I dont know what to do with the fact that I have to go to the store to get a few things. https://t.co/JnCNluSWju
AtlasNetwork,11/7/17 16:32,We dont have to choose between whats morally right and whats economically efficient. We can have both https://t.co/nH2V8RYBP2
britshaniece,11/7/17 16:32,The Daily News is trash.
bodiesynergy,11/7/17 16:32,Sunrise in November. Outdoor Fall Fitness in Brooklyn. #novemberworkouts #bootcamp #groupfitness https://t.co/TGuD3cKE9N
larriesofthesea,11/7/17 16:32,@HSupdating I predict itll be freaking amazing
Carolyn_Marra,11/7/17 16:32,"But with the Akian family, the focus is on the first name, below."
Word_Massager,11/7/17 16:32,If not for rules of civilityampfemale sensabilitieswe men would have our handsdown our pants constantlyadjustin https://t.co/xejK3heZuw
mlonpolitics,11/7/17 16:32,Salon is worse than The Onion https://t.co/fyKEcI1HXZ
thebeastmark,11/7/17 16:32,Despite the most recent gentrification in BK there is still a real danger in the streets.  Its called dog poop. #struggleisreal
MarieMyungOkLee,11/7/17 16:32,@smallbeerpress I vote for the coffee cake
ClaireCanale,11/7/17 16:32,LETS ALL APPRECIATE HOW CUTE MY DAD IS  https://t.co/VnBokT6znz
tmj_nyc_jobs,11/7/17 16:32,See our latest NY #job and click to apply: Restaurant Manager  https://t.co/7yBR8cHc3q #Hiring #CareerArc
tmj_nyc_cstsrv,11/7/17 16:32,"Were #hiring Read about our latest #job opening here: Union Porter  https://t.co/lASDVz97U6 #CustomerService #NewYork, NY #CareerArc"
Cheavor,11/7/17 16:32,Happy #Tuesday
hen_cowinc,11/7/17 16:32,"Baby, its cold out there this morning. Need a FUR to protect you from these chilly temps Madison Ave Furs:new, pre https://t.co/6AwNZYfeJn"
giordandiaz,11/7/17 16:32,@thewadekeller Im pretty sure @WWE is going with #TheShield vs #TheNewDay for #SurvivorSeries based on what happened on #RAW #BelieveThat
xMelCole,11/7/17 16:32,This is beautiful af. https://t.co/6ayYgYEJV9
BooBooDarlin,11/7/17 16:32,Your favorite #gogo night is moving to the 2nd week of every month at holidaycocktaillounge  https://t.co/rb4NjQWo4O
joshualebowitz,11/7/17 16:32,"Last year, voting took me just OVER two HOURS.  This year, voting took me just UNDER two MINUTES. https://t.co/ZtwSV3GwJi"
lynjaaedesiree,11/7/17 16:32,my mans said its not cheatin to smoke w. another nigga lol but like 
spagettiwap,11/7/17 16:32,@ProfessorThorgi Honestly the newest Miles SpiderMan book wasnt that great. Kind of excited to see another writer https://t.co/mMTZ88znsm
JCWeichertGrove,11/7/17 16:32,"In honor of #ElectionDay... However you stand, make sure you get out to the #polls today, #JerseyCity https://t.co/r4PiEiHUt9"
CBennett_13,11/7/17 16:33,one test down. one to go 
RajGargNY,11/7/17 16:33,@trdny Oh.. the level of urgency only after Streeteasy rolled out its Premier Agent Program. Small firms owe thanks https://t.co/IOlGdwHJVO
WAYtooSMOOVE,11/7/17 16:33,Can ya all fix ya fucking is
GothamKenny,11/7/17 16:33,@NBA2K can you update these rosters in middle of files like GM and MyPlayer lol I wanna see Bledsoe on the bucks. And Melo on thunder
Hoppalicious,11/7/17 16:33,@realDonaldTrump  with the https://t.co/VMmqdSmLhi
jeffsonstein,11/7/17 16:33,7.8% turnout so far feh. https://t.co/aojEJp5pkG
BIGBLIZZZY,11/7/17 16:33,my son lamar odom dead said khloe kardashian pussy smell like earring backs under oath lmao
C_Hope526,11/7/17 16:33,"@balgazali29 Oh Ive been on the dark side, this guy today almost took me to a different level"
landsrauhl,11/7/17 16:33,WHY ARE DOGS SO PRECIOUS
ettenyel,11/7/17 16:33,i feel like im the only one that enjoys thanksgiving themed sandwiches
ironstowe,11/7/17 16:33,@MSNBC INDICTMENT ALERT17 sealed indictments on D.C. courthouse docket schedule. https://t.co/jNTKrCor7N  
Meirdeucetrill,11/7/17 16:33,Definitely copping https://t.co/yDwANxG4yJ
JayKatie163,11/7/17 16:33,@tedcruz @EdWGillespie Help save our Country
waltfrasier,11/7/17 16:33,Santa is making final preparations for a very busy seasonhttps://t.co/l7CQKQK6WN#santa #christmas #nyc https://t.co/AhLTMzZLct
UCOMMBlog,11/7/17 16:33,Bay Shore is voting #noconcon Are you Polls are open until 9 PM https://t.co/aftHGbDzy3
WildoPierrePaul,11/7/17 16:33, https://t.co/ZCkKlAeHVg
DropDSoapGayBoy,11/7/17 16:33,I HATE THE INTERNET https://t.co/gtykERucaD
lizclayman,11/7/17 16:33,trying to tip the balance towards sanity @ Saint Francis of Paola Church https://t.co/vtJ4rSMEXz
Nose2Brownstone,11/7/17 16:33,Wed been on the lookout for some pocket door pulls as the ones already on our door were a bit https://t.co/OAbihQTE7G
AmericaHatesUs,11/7/17 16:33,Zo speaks only facts https://t.co/nJEXw5frw2
deionhazebandy,11/7/17 16:33,Since @MeekMill booked who giving out the coats this year cause niggas are cold in philly 
dayathegreat,11/7/17 16:33,Which means he WAS DISHONORABLY DISCHARGED DONT LEAVE THAT PART OUTTTT https://t.co/RAjWOkqxUc
ironstowe,11/7/17 16:33,@CNNPolitics INDICTMENT ALERT17 sealed indictments on D.C. courthouse docket schedule. https://t.co/jNTKrCor7N  
Patriot_M1A,11/7/17 16:33,@President1Trump @POTUS @WhiteHouse End Psychotropic drugs for Kids handed out like candy corn in schools
EatMyWontonSoup,11/7/17 16:33,"lord knows what other shit they hiding from us, we need @milliebbrown to save our world"
TotalTrafficNYC,11/7/17 16:33,Accident reported in #Nyc on 2nd Ave SB approaching 62nd St #traffic https://t.co/cLJ9IKsg5n
Miyuko_junsei,11/7/17 16:33,Imagine @WWEBigE donning a macaw on his shoulder for his next Halloween  costume on #SDLive #kokobware https://t.co/TPERDRbXZq
OrlandoWilson1,11/7/17 16:33,"Kidnap amp Ransom Prevention Risks Incorporated#luxury #travel #journalism @ New York, New York https://t.co/ZvlXCwvjEB"
ironstowe,11/7/17 16:33,@JoyAnnReid INDICTMENT ALERT17 sealed indictments on D.C. courthouse docket schedule. https://t.co/jNTKrCor7N  
emgrdnr,11/7/17 16:33,just your casual reminder that im still not over the my chemical romance break up
LeftyMarlins,11/7/17 16:33,@ACallahan247 by far the best beat writer I have read for any of my teams. https://t.co/Udlk2owRc8
jaujajajaja,11/7/17 16:33,@alyssasanchezx3 https://t.co/YtZRfpnObB
NBTMovement,11/7/17 16:33,Krystal Franklin @krysfranklintv will join 35+ Speakers from across the USA and Canada for our https://t.co/onCDYndvhT
trapmommick,11/7/17 16:33,Candyland Doll  https://t.co/pSmihU2avX
jasonosia,11/7/17 16:33,Claire Foy is the one to the left  https://t.co/LWf4zMbTeq
RafaelManon3,11/7/17 16:33,"Mejor es conservar lo propio aunque sea poquito, que arrebatar lo nucho, cuando es ajeno."
joe_uccellini,11/7/17 16:33,This is what can happen when your underhook is not really an underhook at all.  #notanunderook #opponentsoverhook https://t.co/Z2KlTXzOup
djsmokeblack,11/7/17 16:33,"https://t.co/UCFEUc9sQs  SMP APPLICATION UP ON MY WEBSITE #SMP #SSR @ Financial District, Manhattan https://t.co/LPaeTXzUP3"
mattcozart,11/7/17 16:33,Everybody was kung fu voting
fleurdeliselle,11/7/17 16:33,@PatrickJMcHugh @LisaKBromley I was under the impression that they are.
CXCDI_,11/7/17 16:33,"when Chelly The MC said know how to flex in ur own shit, bitch u cant walk a mile in my size 5s i really felt that."
tmj_nyc_eng,11/7/17 16:33,"Were #hiring Click to apply: Senior Supervising Traction Power Engineer  https://t.co/xxn6UzlLDk #Engineering #NewYork, NY #CareerArc"
tmj_NY_transp,11/7/17 16:33,"This #job might be a great fit for you: Driver Helper  https://t.co/0dTHY5MZEi #Transportation #newport, new york #Hiring #CareerArc"
saint_bren,11/7/17 16:33,I... https://t.co/8EXZyPNmJv
myguyeli_,11/7/17 16:33,Im bout to quit smoking
DeannaDirector,11/7/17 16:33,this is how I get all my news. DM me yourampIll make my moms texts a group chat so you too can stay up 2 date on https://t.co/sY2de1BiZN
MGrossman92,11/7/17 16:33,#ElectionDay #Vote https://t.co/IiMQccNXyV
MichaelsANewman,11/7/17 16:33,@BeCee1122 @NivLugassi @RabbiZvi @BenHabrit @VeronicaTalbot9 @GoyimShmoyim @KarenELeon @cashstein @GiladAtzmon https://t.co/XVZxIcUPe3
_ZIAYLA,11/7/17 16:33,Watch this flight get delayed
Duvi_Honig,11/7/17 16:33,"Amazing turnout at @ojchamber  nyXpo @Javitzcenter today,  Looking forward to our Israel Biz Mission with https://t.co/8pXsVzWQjP"
Rosalu411,11/7/17 16:33,"@nytpolitics Steve Bannon is an anarchist maniac, I dont know how the President can associate with a lowlife like Bannon"
philipsturner,11/7/17 16:33,Im eager to read Collusion: How Russia Helped Trump Win the White House the new book by @LukeHarding w/an intl https://t.co/qp29tRRjdh
LaurenJanesmi1,11/7/17 16:33,look at my boyfriend today https://t.co/i3SB1a5Vop
krystiankoniarz,11/7/17 16:33,Yeaaaaaaasss https://t.co/A6edvonl9s
krisjocal,11/7/17 16:33,Bendis news got me like https://t.co/VNF1Ka3Ti3
uptnhrlmb,11/7/17 16:33,#PutACountryInAMovieIts a mad mad mad Madagascar world
UrbanAchievr,11/7/17 16:33,"@extremedignity Many Christians dont stop at thoughts and prayers. Prayer should be a meditative, reflective exe https://t.co/Na4xGkGDpS"
GAGreenberg,11/7/17 16:33,Here and Now https://t.co/hWeEjCMemx
andrewmacculum,11/7/17 16:33,https://t.co/iwLPq7hAj2Avail #FacebookPhoneNumber 18773508878 for Technical Services
ElizabethStGrdn,11/7/17 16:33,Its #ElectionDay amp that means you can #Vote to help #SaveESG #IVoted #VoteToday #electionsnyc https://t.co/yErzg8KTVx
omiusx,11/7/17 16:34,Explorer.Get your copy of my debut book Pointless Thoughts of an Empty Mind on https://t.co/PP47seEODc
NiceRoundbrowwn,11/7/17 16:34, https://t.co/K93e7H9Frh
AndersonBueno,11/7/17 16:34,"#CoisasDeHollywood. Filmando cenas de vero em pleno frio de outono  em New York, New York https://t.co/YoeDHHQlHN"
SyndicateReaps,11/7/17 16:34,@Victor59444617 Great
t25596114,11/7/17 16:34,Damn there tim hornets is expensive.
camronrichard,11/7/17 16:34,Just watched 11/8/16 on Netflix. Turns out I wasnt ready to revisit that day.
GRaww10,11/7/17 16:34,First degree murder https://t.co/NIgKVhcyu7
cichowicz,11/7/17 16:34,Mariusz Wach .  . 11.11.1.2017  WACH amp MILLER   MENDEZ BOXING GYM  https://t.co/qN4VYqzL2l
JMartinezNYC,11/7/17 16:34,@mjchiusano I noticed one tourist who fell for the giraffe on the tracks line. Brilliant.
imstephwalsh,11/7/17 16:34,It makes me really sad that i cant talk to my friends about things that matter to me bc they dont want to hear about it.
DarkKnight_24,11/7/17 16:34,O...M...G https://t.co/AtRxzwUbPY
Carolyn_Marra,11/7/17 16:34,They pretend that an Akian daughter is OUR daughter  as though they are one person  and one of them displaced.
joanmcos,11/7/17 16:34,@MelissaY1 @TinyLifeCharity Hi Melissa Check to #TinyLife sent amp rcvd by them.
tmj_roc_retail,11/7/17 16:34,"Want to work in #Williamson, NY View our latest opening: https://t.co/kP1A4QJMlk #Retail #Job #Jobs #Hiring #CareerArc"
ironstowe,11/7/17 16:34,@NCAlwaysWithHer INDICTMENT ALERT17 sealed indictments on D.C. courthouse docket schedule. https://t.co/jNTKrCor7N  
_ZIAYLA,11/7/17 16:34,All this dumbass rain and weather 
twhiteaz,11/7/17 16:34,Prolly left in the sled by Mrs. Santas sister. https://t.co/BNivbxG9nF
tmj_nyc_sales,11/7/17 16:34,"Can you recommend anyone for this #job in #NewYork, NY https://t.co/kcwhGLirvO #Spectrum #Sales #Hiring #CareerArc"
Vancegross_,11/7/17 16:34,I never grasped the concept of a selfie. I think all my selfies are trash
chelsea_might,11/7/17 16:34,Ive been back at work ONE DAY and have already fallen in love with a new reporter. And this ones British
mariamossnyc,11/7/17 16:34,@Cooper40 @ReignOfApril @KimCattrall We are not equal. A white woman and a black woman are not the same. Color exis https://t.co/vDdwldgBQ1
RafaelManon3,11/7/17 16:34,"Mejor es conservar lo propio aunque sea poquito, que arrebatar lo mucho, cuando es ajeno."
MJqqq,11/7/17 16:34,so Trump stands completely alone on Climate ChangeGreat Negotiator   or CompleteMoron
JayKatie163,11/7/17 16:34,@womensmarch Resistance means no Democrats
AEFNYC,11/7/17 16:34,#learnwithaef @JWTWorldwide @JWTNewYork @SkidmoreCollege https://t.co/fj1rLXCuRp
ronaissance,11/7/17 16:34,"Tonight, LeBron plays in his 1,072nd regular season game. Thats as many regular season games as Michael Jordan played. Thats crazy."
AdamLefkoe,11/7/17 16:34,NO and CAR look nice https://t.co/rNTXl81kW5
BenMcCool,11/7/17 16:34,@ryanwriter Disclaimer: theres a chance the Warrior was the beneficiary of a slight smidge of editing there...
4chun_cookie,11/7/17 16:34,@Xbox #FeelTrueEmojiPower #dragon
weiz44,11/7/17 16:34,"Havent even read this yet, but Im confident The Ringer will do him justice. https://t.co/umppFq0SqX"
GlobalGoalsUN,11/7/17 16:34,"The green economy is the economy of the future. The green business is the good business, says @antonioguterres at https://t.co/LZ4aW68zr8"
jpoggi,11/7/17 16:34,Speaking with @NatGeo at #dmwf at 12:40 about how they are reinventing themselves for digital. https://t.co/Id7VLjpr1J
tmj_nyc_banking,11/7/17 16:34,"If youre looking for work in #NewYork, NY, check out this #job: https://t.co/JaGgWsN3JD #cfgjobs #Banking #Hiring #CareerArc"
morganpehme,11/7/17 16:34,"@MichaelMurphyNY LGBT titan @kaplanrobbie, who won landmark marriage equality case, on why shes voting YES: https://t.co/s4aK1tkn6N"
lalolalightning,11/7/17 16:34,i was reading about aries men before bed and then had a nightmare that my mans called and needed to tell me something and the call dropped
awrod,11/7/17 16:34,"el nuevo disco de Willow es tan bueno como ardipithecus, no puedo creerlo "
daly_a_,11/7/17 16:34,how is flying lotus not sold out
njvikings1,11/7/17 16:34,"@RealJamesWoods when is hillary going to jail She sold out the us uranium, had to have approval from obama, arrest https://t.co/3PQfegcnap"
avaeats,11/7/17 16:34,but i was JUST talmbout dip baths as an adult yesterday. dont act like yall never woke up one morning with no hot https://t.co/r7oZr00zEa
Iam_SetFree,11/7/17 16:34,Blessed to be able to add these signed @takashipom prints to @compoundblog time to get to the https://t.co/GeJd04K88j
TimeforTruth16,11/7/17 16:34,@rohinkandola @BarackObama @cjprotzman I was right your a fing genious I know smart when I see it https://t.co/UWC4j2Bejv
pyramuscrypto,11/7/17 16:34,Today must also be $PIRL day $crypto
t25596114,11/7/17 16:34,Everywhere I go people ask me if Bailey is my dog. Lol.
511NYC,11/7/17 16:34,Construction on #West15ThStreet from 10th Avenue to 9th Avenue https://t.co/EiBZtmab4C
problesgil,11/7/17 16:34,"Engraving  una hora y cuarto ms lento que mi mejor tiempo, pero qu bien sabe. https://t.co/bD24C9xdjY https://t.co/DrpP9PS3Vb"
RTraino,11/7/17 16:34,"The @fcbchi work that drove 3 trillion bookings, 23 million impressions, 1 gold @DMAUSA ECHO Award for @RadioFlyer https://t.co/h3x1QUc6KZ"
TChalla_97,11/7/17 16:34,Id also like to know. https://t.co/G6t5tWduid
Scream_Selix3,11/7/17 16:34,Leo amp his girlfriend are the cutest 
LadyJ1014,11/7/17 16:34,"Look at that, I room full of dummies, never seen that before.  Lol https://t.co/HO0kPpHXMD"
xavieryvon,11/7/17 16:34,Je me sens oblig de retweeter tellement le jeu de mots vaut un prix.  https://t.co/hmpUz8O2Tp
imstephwalsh,11/7/17 16:34,Like I already struggle with my relationship w my dad bc I have to censor myself. I dont get why my friends make me do that now too.
gentlemansdaily,11/7/17 16:34,The Daily Look: Knitter #telfarglobal #cfda2017 #throwback #tailoredtuesday #thedailylook https://t.co/Ann4gVSvUL
GerardoAngulo6,11/7/17 16:34,@Justiciera75 @InfoVzlaNet NADIEN LES VA A RESTRUCTURAR ESA DEUDA. ESO ES COMO TIRARSE DE UN AVION SIN PARACAIDAS.
ironstowe,11/7/17 16:34,@IamWoody79 @RobinBrenizer INDICTMENT ALERT17 sealed indictments on D.C. courthouse docket schedule. https://t.co/jNTKrCor7N  
USJobsCognizant,11/7/17 16:34,"Join the Cognizant team See our latest #job opening here: https://t.co/cHK0JiV4Em #IT #NewYork, NY #Hiring"
ECIDfitb,11/7/17 16:34,The emotional freedom Im beginning to feel right now is hard to put into words...so excited to share this project with you guys...
tmj_nyc_health,11/7/17 16:34,"Can you recommend anyone for this #job in #NewYork, NY https://t.co/mdldJSOic6 #Healthcare #Hiring #CareerArc"
kenyazedith,11/7/17 16:34,Seriously though 
jcsmith711,11/7/17 16:34,"Genuinely exhausted from a new sexual assault story coming out every single day, arent you exhausted"
pdeioann,11/7/17 16:34,Did you vote #nyc #manhattan #voteday #cityhall #park #fence @ City Hall IRT Lexington Avenue https://t.co/Jo53hcOMEA
MissyLany,11/7/17 16:34,Winter air and a cup of coffee  @iloveyourainbow  #vegan #vegansofig #raw #rawvegan #fit https://t.co/ubzcMaSJnz
SuzanaHallili,11/7/17 16:34,JUST DO THE WORK .                100 Seconds of Advice with @unclerush for #forbes #forbes100 https://t.co/ZGMvi45wZ5
MichelButter,11/7/17 16:34,6th place That boyhood dream came true. Thank you @nycmarathon and @nbrunning for your great https://t.co/JCvrcFfuCV
DeusExCinema,11/7/17 16:34,"@cinephile24 Short answer is Triumph of the Will, but thats a debate done too many times. A less obvious answer mi https://t.co/NyDi2KAuWx"
_wonderfrankie,11/7/17 16:34,"GOOD MORNING BEAUTIFUL PEOPLE  PLEASE DONT FORGET TO #VOTE TODAY WE ARE THE FUTURE AND WE WILL INHEREIT THIS COUNTRY, WE MUST B THE CHANGE"
kiaraL2003,11/7/17 16:34,"@jackaverymusic Got get it, I MEAN WHILE IM HERE WE CAN EAT TOGETHER"
DoriannGay,11/7/17 16:34,"Where I Belong. NYC.  Times Square, New York City https://t.co/Bpymqu3FRR"
guadaluperest,11/7/17 16:34,"VEN Y ALMUERZA CON CALIDAD Y ALTURA A PRECIO DE LUNCH,TODO DESDE $6.95 A $11.95 EL MEJOR LUNCH DE TODA LA ZONA https://t.co/AfdPcHAfNh"
BrockVond,11/7/17 16:34,"@BillOReilly Youre still alive Thought you hit your head at your Palm Beach home and bled to death Oh , wait, th https://t.co/kp2OxY2GJr"
petekachu,11/7/17 16:34,"The coffee caffemarchio is authentically awful. Everything else was delicious, from the wet https://t.co/FQbRS90jpJ"
F0T0MAN1206,11/7/17 16:34,"Today I got to be on The Chew, sitting at the Tasting Table for the second time Carla Hall https://t.co/6t1BfBsYB9"
BrooklynNawlins,11/7/17 16:34,https://t.co/aekwfthJcY
ironstowe,11/7/17 16:34,@funder INDICTMENT ALERT17 sealed indictments on D.C. courthouse docket schedule. https://t.co/jNTKrCor7N  
BillDolanBDC,11/7/17 16:34,That thing when you get @katelmans OOO message because he is on the @KISSOnline KISS KRUISE.  #Blessed #RocknRollOverboard
tmj_NYS_HRTA,11/7/17 16:34,"Want to work at Turning Stone Were #hiring in #Verona, NY Click for details: https://t.co/Sq0B120MZU #Hospitality #Job #Jobs #CareerArc"
ItsRealKing,11/7/17 16:34,This dude is mad ugly https://t.co/O2J0a8Y33J
LegendaryLuna,11/7/17 16:34,"Opinion  Constitutional Convention: Thanks, but No Thanks https://t.co/kvwLkqb3Yu"
BigO5_,11/7/17 16:34,Cant wait for the holidays. Man I love that feelingggggg Its sooo...hmmm. Hard to explain. But it feels sooo https://t.co/Q63eF2ksxg
SopanDeb,11/7/17 16:34,im in a matt levy cover band https://t.co/JvDqjZjouX
obeysireli,11/7/17 16:34,Cant get mad because were not dating
TheVanDanders,11/7/17 16:35,I hope you know I tried
FatheFB,11/7/17 16:35,"The benefits about making your own soap,  you know whats in it and know what it suppose to do https://t.co/WfQLAeFDRJ"
DJAMRNJ,11/7/17 16:35, Tonight at Green Rock in Hoboken...$1 domestic drafts till close...music 9close  https://t.co/2i9VFK8jq0
Rach32898884,11/7/17 16:35,@IlonaNMarlie @thehill Im impressed w/ ur strength. Any suggestions to help me relax Feel more confident in my gov https://t.co/k0YAUyiaaR
randommuse214,11/7/17 16:35,#Arizona 4 days til @hospicerocks show  #MusicTherapy #MusicHeals #Hospice #Phoenix #Music #LiveMusic https://t.co/5u8jHQUAIZ
lalolalightning,11/7/17 16:35,WHAT DID HE NEED TO TELL ME . I NEED TO KNOW .
Blood_Napkin,11/7/17 16:35,Gonna start a gofundme for my next crush
njvikings1,11/7/17 16:35,"when is hillary going to jail She sold out the us uranium, had to have approval from obama, arrest her and those connected with her treason"
nwkmanuf,11/7/17 16:35,Were #hiring Read about our latest #job opening here: Warehouse Clerk1st Shift 40hr/wk  https://t.co/rwinW80nEv #Jersey #CareerArc
Julcuba,11/7/17 16:35,Vote But first listen to this podcast where @kadiagoba @jarrettmurphy and I break down Brooklyn races on @BRICradio https://t.co/J9KhTl0gO3
SmithPeytonE,11/7/17 16:35,WHY ARE GUYS SO FUCKING STUPID
Joey_Rubino,11/7/17 16:35,FUCK
_QuanMichelle,11/7/17 16:35,"I dont gotta be fly, Im fly in my pocket."
EliteBureauClub,11/7/17 16:35,"#luxury, #female, #Internationalescorts ,#NYCEscorts #NYCEscort, #Elite, #Sexy, #VIP 6465754117 https://t.co/3ynufIEK5m"
bringouttheweed,11/7/17 16:35,@eb4prez Indefinitely.
HotelEdison,11/7/17 16:35,@djdolydd @Mariaowl We look forward to seeing the parade too
SergeJune,11/7/17 16:35,"Every day, I like to wake up and remind myself to be grateful of the simple things  @ https://t.co/0HMoEY0XiA"
tmj_nya_labor,11/7/17 16:35,"Want to work at Daughters of Sarah Senior Community Were #hiring in #Albany, New York Click for details: https://t.co/jG9AUfE4Mw #Labor"
ehornz,11/7/17 16:35,Cant believe I rsvpd yes https://t.co/aDFGI0rgbL
metfan722,11/7/17 16:35,@MicaBurton People suck.
Carolyn_Marra,11/7/17 16:35,"I believe that a blonde West Milford woman, unrelated to anyone here, is awaiting a ward of one or both of these young girls."
